Gene.Name,Group4,Group1,Group4.1,Group4.2,Group1.1,Group4.3,Group4.4,Group1.2,Group4.5,Group1.3,Group1.4,Group1.5,Group4.6,Group4.7,Group4.8,Group1.6,Group1.8,Group1.9,Group1.10,Group4.9,Group1.11,Group4.10,Group1.12,Group4.11,Group1.13,Group1.14,Group1.15,Group1.16,Group1.17,Group1.18,Group4.12,Group1.19,Group4.13,Group1.20,Group4.14,Group1.21,Group4.15,Group4.16,Group4.17,Group4.18,Group1.22,Group1.23,Group1.24,Group1.25,Group1.26,Group1.27,Group4.19,Group1.28,Group1.29,Group4.20,Group1.30,Group4.21
IL1RAP,0,0,0,0,0,1177624.37,0,0,0,466887.1554,804562.6553,0,1357468.636,0,802276.0586,0,0,0,0,0,0,0,0,0,2682241.595,0,664388.585,465602.4254,486217.1545,768209.8336,0,0,0,0,0,0,0,0,0,780330.4129,0,0,0,0,0,1205261.391,699194.6027,876452.1026,1663710.174,1027005.779,2266974.443,2032065.925
COX7A2,0,0,0,1421221.407,0,743492.1916,0,0,0,0,3514890.661,0,0,0,0,0,0,0,0,0,0,0,953216.1031,0,856312.8539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489631.632,0,0,0,0,1016599.094,341620.722,0,1179809.298,0,0,2255785.815,967218.4356
ATP6V0C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369840.204,0,0,0,1479184.652,0,621540.2773,2484264.874,0,3370172.182,0,0,0,0,0,0,0,0,0,0,0,0,0,4267775.262,0,0,0,0,0,0,0,1636802.385,4524061.398,3926803.104
PTGES3,0,825754.1699,0,0,0,0,0,0,0,0,2009345.285,0,2285608.218,0,0,0,1339493.763,0,0,0,0,0,0,3541088.859,0,0,0,1988865.35,0,0,0,0,0,0,0,0,0,966421.2805,0,0,0,1643138.353,0,0,0,0,0,0,0,624735.7914,0,0
KRTAP2.1,0,0,0,0,1927059.339,0,0,0,0,0,559656.6333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423357.8445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277009.9174,0,0,0,0,0,0,351694.909
GPT2,2091043.855,0,0,0,0,1828814.649,0,171478.2076,0,0,0,0,0,0,1069432.44,1027023.866,0,0,1968943.511,1196440.153,0,992228.5969,598348.3662,0,0,3995608.506,0,0,2903441.261,871097.4252,624384.9227,0,0,0,18527542.06,0,0,0,0,0,0,0,0,0,755296.6934,0,479950.6439,0,0,8360763.006,0,11743385.52
TMED9,1906701.008,0,0,1887584.683,0,1859786.515,879094.2216,0,1232026.476,0,3711393.083,0,1178856.618,3903350.942,1129662.239,0,0,0,0,2636187.49,2751516.371,3609842.916,0,1433464.583,0,0,0,1797732.62,0,0,0,0,3945530.478,0,1579347.079,1534339.506,0,0,3512429.508,1552953.087,1835314.287,2337633.616,0,0,0,2344299.549,0,1840924.231,0,1467950.364,0,0
ARHGDIA,0,1339847.016,1916396.578,1939123.341,2457051.188,0,2390916.58,2111489.159,1810457.235,1368566.372,0,0,2000159.096,0,1664036.125,0,1487856.744,1511997.102,1568794.462,1741351.583,0,2022138.897,3599697.844,0,0,1383712.337,1407643.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STIM1,0,0,0,0,0,689566.8233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736469.3655,3059871.486,0,0,0,0,1294044.261,847159.7382,0,2186622.496,2119304.807,1679865.464,936332.0063,1324821.282,0,352816.7091,717805.328,0,636609.2175,0,1278768.472,0,0,1420454.012,2418591.535,793343.3052
ME1,1048865.542,1108275.408,0,0,1482307.678,1268240.397,2605909.397,2685599.902,0,0,2111942.535,0,0,0,0,1700056.584,875104.2239,662889.1528,0,2371330.778,2277051.267,2085109.997,3738091.89,1860135.093,0,2084562.652,0,1549260.052,0,5412918.739,1860589.539,1589520.814,2813042.181,0,1785992.433,1589183.95,0,0,1266060.484,3523790.166,1566984.414,0,1855287.318,1831229.983,0,3287361.664,1577484.856,1568972.953,5114154.332,0,1606228.324,2563381.62
HNRNPA2B1,0,0,137898.2863,0,114932.1643,81008.86606,177268.188,149401.4372,155038.9409,141492.217,0,0,0,0,0,0,534860.6621,0,0,0,0,0,0,0,0,0,0,422939.7722,0,0,459307.9941,0,0,604493.1103,337230.6503,385807.1453,295744.9085,0,0,0,101730.6542,0,0,0,0,0,0,0,0,0,0,0
TSPAN18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950036.5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC59,0,0,0,0,0,0,0,100835.6045,0,0,140678.7746,33200.75775,0,0,0,0,0,0,0,0,0,0,0,86886.40101,51581.32382,0,0,1186980.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426315.2039,0,0,0,0,0,0,0
IMPA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXNRD1,0,0,0,0,0,0,613637.4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786667.6313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870550.8731,2829833.929,0,0,0,0,0,0,0,0,0,0,0
FMNL1,0,0,0,148327.1142,111813.1438,0,0,0,170758.5446,0,0,109380.6817,0,0,0,0,125875.8542,178427.6191,0,0,0,0,0,0,90470.94278,188435.2809,0,1517115.901,188358.2183,532227.2809,0,0,193552.219,0,76239.62774,0,0,191815.1408,137386.0843,292790.2343,0,269802.5981,0,633569.7922,748951.4347,0,0,0,2283093.755,695959.3539,0,234162.7744
REM2,0,0,0,192892.3964,0,1469811.763,3690911.57,0,0,485817.6402,0,3646018.965,0,2553612.024,0,0,0,0,0,0,0,0,0,0,649624.2349,0,0,0,0,0,4683413.962,0,2456899.655,0,4651663.698,0,1315549.861,0,0,0,0,2577951.476,0,0,0,0,0,0,0,0,1164048.519,0
LASP1,0,693074.8469,0,644429.665,827007.2868,1827851.067,0,0,1996890.314,729622.9608,1688910.028,0,0,2585008.448,610219.0701,0,2175254.243,4327139.331,3203189.089,1279766.963,1151027.053,1071424.538,5422282.78,1865711.128,2236796.278,2323366.382,5533858.648,9272424.272,1558597.773,0,589882.222,660363.154,0,641072.49,858297.4068,1995382.576,2558353.314,1006190.525,0,2289650.708,0,0,0,0,4637590.254,3337902.345,0,2586765.418,0,1249118.735,331216.2446,0
SCPEP1,0,0,882952.5916,0,0,782712.2395,0,0,500261.7609,0,1834727.085,0,874365.997,0,0,0,0,1061839.346,0,0,0,0,0,0,0,0,0,750441.5304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437471.771,0,0,1254188.136,0,979948.7317,849826.6604
BMP1,784221.748,0,883570.3268,940763.6491,0,0,971950.0825,1003965.734,0,0,1436476.004,749062.3706,733185.914,0,0,0,879398.6576,0,0,0,0,0,0,719564.9192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2988770.151,0,0,0,0,5141710.072,0,0,0,0,0,0,0,3508606.33
ALDH1A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3238504.418,0,9746951.764,8189917.258,0,5357264.422,10493880.63,6830605.653,13582260.76,0,0,2631919.242,4338675.726,0,6240405.852,3391163.66,0,0,0,0,0,850729.3968,1262794.126,1736858.335
GALNS,0,0,0,0,551173.8221,0,0,0,0,0,0,943433.4301,1515026.627,1036980.304,3083652.753,3619832.681,0,0,0,0,747375.2315,766610.7532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7584750.498
